BENCHMARK, START_STVARS, LTL2SMV_STVARS, LTL2SMV_TIME, CIRCUIT_STVARS, CIRCUIT_TIME
"benchmarks_wbs/wbs_arch2.ltl_40.vmt", 89, 95, 0.554, 655, 29.713
"benchmarks_wbs/wbs_arch2.ltl_41.vmt", 89, 113, 6.259, 696, 49.733
"benchmarks_wbs/wbs_arch2.ltl_44.vmt", 89, 95, 0.424, 655, 32.079
"benchmarks_wbs/wbs_arch2.ltl_45.vmt", 89, 113, 6.149, 696, 49.327
"benchmarks_wbs/wbs_arch2.ltl_48.vmt", 89, 95, 0.456, 655, 44.975
"benchmarks_wbs/wbs_arch2.ltl_49.vmt", 89, 113, 6.656, 696, 53.241
"benchmarks_wbs/wbs_arch2.ltl_4.vmt", 89, 95, 70.932, 901, 144.783
"benchmarks_wbs/wbs_arch2.ltl_52.vmt", 89, 95, 0.420, 655, 43.640
"benchmarks_wbs/wbs_arch2.ltl_53.vmt", 89, 113, 4.032, 696, 51.786
"benchmarks_wbs/wbs_arch2.ltl_56.vmt", 55, 59, 0.531, 1258, 180.320
"benchmarks_wbs/wbs_arch2.ltl_57.vmt", 55, 59, 0.647, 1258, 152.278
"benchmarks_wbs/wbs_arch2.ltl_58.vmt", 55, 59, 1.759, 1430, 191.931
"benchmarks_wbs/wbs_arch2.ltl_59.vmt", 55, 59, 0.298, 978, 166.455
"benchmarks_wbs/wbs_arch2.ltl_5.vmt", 89, 95, 77.919, 869, 70.073
"benchmarks_wbs/wbs_arch2.ltl_60.vmt", 55, 59, 0.611, 978, 129.559
"benchmarks_wbs/wbs_arch2.ltl_61.vmt", 55, 59, 0.380, 978, 159.041
"benchmarks_wbs/wbs_arch2.ltl_62.vmt", 55, 59, 0.383, 978, 144.775
"benchmarks_wbs/wbs_arch2.ltl_63.vmt", 55, 59, 0.378, 978, 136.608
"benchmarks_wbs/wbs_arch2.ltl_64.vmt", 55, 59, 0.423, 978, 139.303
"benchmarks_wbs/wbs_arch2.ltl_65.vmt", 55, 59, 0.308, 978, 126.586
"benchmarks_wbs/wbs_arch2.ltl_66.vmt", 55, 59, 0.493, 978, 143.845
"benchmarks_wbs/wbs_arch2.ltl_67.vmt", 55, 59, 0.393, 978, 117.171
"benchmarks_wbs/wbs_arch2.ltl_68.vmt", 55, 59, 0.419, 978, 138.349
"benchmarks_wbs/wbs_arch2.ltl_69.vmt", 55, 59, 0.259, 978, 124.568
"benchmarks_wbs/wbs_arch2.ltl_6.vmt", 89, 103, 1.824, 589, 22.069
"benchmarks_wbs/wbs_arch2.ltl_70.vmt", 55, 59, 0.278, 978, 106.151
"benchmarks_wbs/wbs_arch2.ltl_71.vmt", 28, 28, 0.018, 31, 0.341
"benchmarks_wbs/wbs_arch2.ltl_72.vmt", 28, 28, 0.019, 31, 0.348
"benchmarks_wbs/wbs_arch2.ltl_73.vmt", 28, 28, 0.022, 31, 0.345
"benchmarks_wbs/wbs_arch2.ltl_74.vmt", 28, 28, 0.024, 31, 0.564
"benchmarks_wbs/wbs_arch2.ltl_75.vmt", 28, 28, 0.019, 31, 0.571
"benchmarks_wbs/wbs_arch2.ltl_76.vmt", 28, 28, 0.018, 31, 0.558
"benchmarks_wbs/wbs_arch2.ltl_77.vmt", 28, 28, 0.018, 31, 0.548
"benchmarks_wbs/wbs_arch2.ltl_78.vmt", 28, 28, 0.017, 31, 0.573
"benchmarks_wbs/wbs_arch2.ltl_79.vmt", 28, 28, 0.015, 31, 0.575
"benchmarks_wbs/wbs_arch2.ltl_80.vmt", 28, 28, 0.021, 31, 0.565
"benchmarks_wbs/wbs_arch2.ltl_81.vmt", 28, 28, 0.022, 31, 0.554
"benchmarks_wbs/wbs_arch2.ltl_82.vmt", 28, 28, 0.019, 31, 0.574
"benchmarks_wbs/wbs_arch2.ltl_83.vmt", 28, 28, 0.022, 31, 0.612
"benchmarks_wbs/wbs_arch2.ltl_84.vmt", 27, 31, 0.211, 128, 2.906
"benchmarks_wbs/wbs_arch2.ltl_85.vmt", 27, 31, 0.219, 128, 2.555
"benchmarks_wbs/wbs_arch2.ltl_86.vmt", 27, 31, 0.218, 128, 2.414
"benchmarks_wbs/wbs_arch2.ltl_87.vmt", 27, 31, 0.221, 128, 2.480
"benchmarks_wbs/wbs_arch2.ltl_88.vmt", 27, 31, 0.199, 128, 2.089
